Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
NPC9I6DD,journalArticle,2013,"Jolley, Alison; Jones, Francis; Harris, Sara",Measuring Student Knowledge of Landscapes and Their Formation Timespans,Journal of Geoscience Education,nan,1089-9995,10540812-3071,nan,"Geologic time is a crucial component of any geoscientist's training Essential knowledge of geologic time includes rates of geologic processes and the associated time it takes for geologic features to form, yet measuring conceptual thinking abilities in these domains is challenging We describe development and initial application of the Landscape Identification and Formation Test LIFT, a concept inventory for measuring abilities to identify landscapes and their formation timespans Test development included careful choice of concept questions followed by a cycle of validation steps involving student and expert think-aloud interviews We then administered the test, together with eight validated questions about geological time, to 96 university students in second year and fourth year geoscience courses Results showed that students' abilities and confidence were more closely aligned with their general knowledge about geologic time than with the level of the course in which they were enrolled Students were better at identifying landscapes than estimating how long they take to form, and both students and experts had the most difficulty with intermediate formation timespans Details about students' errors, including common landscape misidentifications and systematic errors in estimating formation timespans, can help instructors prioritize the content and pedagogy of their courses The LIFT is a validated concept inventory that is available for anyone to use as a pre-post, diagnostic, progress, or end-of-degree assessment that can provide valuable feedback about knowledge and learning to students, instructors and program administrators PUBLICATION ABSTRACT",2013,2024-01-25 221414,2024-02-06 220307,nan,240-251,nan,2,610,nan,nan,nan,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Concept Inventory; Assessment; Computational Thinking; Earth, Ocean and Atmospheric Sciences",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
C3SNBIUW,conferencePaper,2008,"Gilley, Brett; Harris, Sara",Measuring Student Gains in an Introductory Geoscience Lab,nan,nan,nan,nan,httpswwweoasubccaresearchcwseiresourcesIntro_Geol_lab_gains_poster_UBC-Oct08pdf,nan,2008,2024-01-25 221414,2024-04-25 171802,nan,nan,nan,nan,00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpwwwcwseiubccaFilesEOSIntro_Geol_lab_gains_poster_UBC-Oct08pdf,"Introductory Courses; Assessment; Earth, Ocean and Atmospheric Sciences; Poster",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Geological Society of America Annual Meeting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
97TACN8L,journalArticle,2014,"Day, James; Adams, Wendy; Wieman, Carl; Schwartz, Daniel; Bonn, Douglas",Invention Activities A path to expertise,Physics in Canada,nan,nan,nan,nan,nan,2014,2024-01-25 221414,2024-04-25 175750,nan,nan,nan,nan,00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpwwwcwseiubccaSEI_researchfilesPhysicsDay-etal_InventionActivities_PiC2014pdf,Invention Activities; Lab Course; Lab Design; Physics and Astronomy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4HDM33PL,conferencePaper,2011,"Harris, Sara; Gilley, Brett","Invention Activities in an Introductory Lab Minerals, Rocks, Biodiversity,  Earthquakes",nan,nan,nan,nan,nan,nan,2011,2024-01-25 221414,2024-04-24 235944,nan,nan,nan,nan,00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpwwwcwseiubccaSEI_researchfilesGeo_OceanHarris_GeologyInventionActivities_GSA2011pdf,"Introductory Courses; Earth, Ocean and Atmospheric Sciences; Invention Activities; Lab Course; Poster",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Geological Society of America GSA Annual Meeting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Z32MUK5Q,journalArticle,2020,"Coles, Matthew; Leung, Fok-Shuen; Radzimski, Vanessa; Sargent, Pam",Navigating the landscape of pedagogical training The journeys of three mathematics graduate students,Collected Essays on Learning and Teaching,nan,2368-4526,1022329celtv13i06016,httpsceltuwindsorcaindexphpCELTarticleview6016,"This article describes the landscape of teaching assistantships TAships in the Mathematics Department of a large, public, research institution First, we present visualized data describing the terrain for all mathematics graduate students Second, we focus on three specific journeys in that terrain We employ an autoethnographical research methodology to analyze the pedagogical paths of three recent graduates through written reflection We highlight some surprising themes that emerge, identify key moments in each reflection, and make three proposals, applicable in broader contexts, to capture and confer their benefits nbsp; Dans notre article, nous traçons le portrait de lassistanat denseignement dans le département de Mathématique dun grand établissement public de recherche Tout dabord, nous présentons des données sous forme visuelle de manière à décrire la réalité sur le terrain des étudiants en mathématique des cycles supérieurs Ensuite, nous portons notre attention sur trois parcours particuliers Au moyen de réflexions menées par écrit, nous utilisons une méthodologie de recherche autoethnographique afin danalyser le parcours pédagogique de trois nouveaux diplômés Nous soulignons certains thèmes surprenants, nous dégageons les moments clés de chaque réflexion, puis nous énonçons trois propositions  lesquelles peuvent être utilisées dans un contexte plus large  et nous en présentons les avantages",2020-10-28,2024-01-25 221439,2024-02-06 190410,2023-12-20 220009,87-99,nan,nan,130,nan,nan,Navigating the landscape of pedagogical training,nan,nan,nan,nan,nan,nan,en,"Copyright c 2020 Matthew Coles, Fok-Shuen  Leung, Vanessa  Radzimski, Pam Sargent",nan,nan,nan,celtuwindsorca,nan,nan,nan,UsersivancheungZoterostorageJZTE45TQColes et al - 2020 - Navigating the landscape of pedagogical training pdf,nan,Mathematics; Professional Development; Teaching Assistants,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WQ3HQUAA,conferencePaper,2014,"Roll, Ido; Briseno, Adriana; Yee, Nikki; Welsh, Ashley",Not a magic bullet the effect of scaffolding on knowledge and attitudes in online simulations,nan,nan,nan,nan,httpsrepositoryislsorgbitstream112081879-886pdf,"Common wisdom and prior research suggest that students with low prior knowledge are in greater need for scaffolding However, some forms of scaffolding may overload novice-students cognitive capacity or short-circuit productive exploration of the problem space Hence, we evaluate the effectiveness of scaffolding in a virtual simulation in physics, considering students attitudes and prior knowledge 100 undergraduate students completed either a scaffolded or a relatively unstructured activity, followed by another unstructured activity While the given scaffolding was beneficial for students with high prior knowledge, it did not assist students with low prior knowledge Furthermore, the scaffolded activity increased students attitudes towards memory-and-recall in a way that transferred to the later unsupported activity, where these goals were no longer appropriate Last, prior knowledge did not contribute to learning outcomes in the presence of intuitive grounded feedback We explain these results in terms of productive failure and cognitive load",2014,2024-01-25 221414,2024-04-24 180456,nan,nan,nan,nan,00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,httpsrepositoryislsorgbitstream112081879-886pdf,Assessment; Cognitive Load; CTLT; Student Attitudes; Student Performance; Undergraduate Students,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
XZP8I7BC,conferencePaper,2020,"Zamprogno, Lucas; Holmes, Reid; Baniassad, Elisa",Nudging student learning strategies using formative feedback in automatically graded assessments,Proceedings of the 2020 ACM SIGPLAN Symposium on SPLASH-E,978-1-4503-8180-2,nan,10114534264313428654,httpsdoiorg10114534264313428654,"Automated assessment tools are widely used as a means for providing formative feedback to undergraduate students in computer science courses while helping those courses simultaneously scale to meet student demand While formative feedback is a laudable goal, we have observed many students trying to debug their solutions into existence using only the feedback given, while losing context of the learning goals intended by the course staff In this paper, we detail two case studies from second and third-year undergraduate software engineering courses indicating that using only nudges about where students should focus their efforts can improve how they act on generated feedback By carefully reasoning about errors uncovered by our automated assessment approaches, we have been able to create feedback for students that helps them to revisit the learning outcomes for the assignment or course This approach has been applied to both multiple-choice feedback in an online quiz taking system and automated assessment of student programming tasks We have found that student performance has not suffered and that students reflect positively about how they investigate automated assessment failures",2020-11-15,2024-01-25 221439,2024-02-06 185442,2023-12-04,111,nan,nan,nan,nan,nan,nan,SPLASH-E 2020,nan,nan,nan,Association for Computing Machinery,"New York, NY, USA",nan,nan,nan,nan,nan,ACM Digital Library,nan,nan,nan,nan,nan,Computer Science; Undergraduate Students; Assessment; Automated Assessment; Formative Assessment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
L4FGSAT3,journalArticle,2021,"Häse, Florian; Aldeghi, Matteo; Hickman, Riley J; Roch, Loïc M; Christensen, Melodie; Liles, Elena; Hein, Jason E; Aspuru-Guzik, Alán",Olympus a benchmarking framework for noisy optimization and experiment planning,Machine Learning Science and Technology,nan,2632-2153,1010882632-2153abedc8,httpsdxdoiorg1010882632-2153abedc8,"Research challenges encountered across science, engineering, and economics can frequently be formulated as optimization tasks In chemistry and materials science, recent growth in laboratory digitization and automation has sparked interest in optimization-guided autonomous discovery and closed-loop experimentation Experiment planning strategies based on off-the-shelf optimization algorithms can be employed in fully autonomous research platforms to achieve desired experimentation goals with the minimum number of trials However, the experiment planning strategy that is most suitable to a scientific discovery task is a priori unknown while rigorous comparisons of different strategies are highly time and resource demanding As optimization algorithms are typically benchmarked on low-dimensional synthetic functions, it is unclear how their performance would translate to noisy, higher-dimensional experimental tasks encountered in chemistry and materials science We introduce Olympus, a software package that provides a consistent and easy-to-use framework for benchmarking optimization algorithms against realistic experiments emulated via probabilistic deep-learning models Olympus includes a collection of experimentally derived benchmark sets from chemistry and materials science and a suite of experiment planning strategies that can be easily accessed via a user-friendly Python interface Furthermore, Olympus facilitates the integration, testing, and sharing of custom algorithms and user-defined datasets In brief, Olympus mitigates the barriers associated with benchmarking optimization algorithms on realistic experimental scenarios, promoting data sharing and the creation of a standard framework for evaluating the performance of experiment planning strategies",2021-07,2024-01-25 221439,2024-02-06 185401,2024-01-18 184045,035021,nan,3,20,nan,Mach Learn Sci Technol,Olympus,nan,nan,nan,nan,nan,nan,en,nan,nan,nan,nan,Institute of Physics,nan,Publisher IOP Publishing,nan,UsersivancheungZoterostorageWAKG6WDQHäse et al - 2021 - Olympus a benchmarking framework for noisy optimipdf,nan,Framework; Chemistry; Lab Instruction; Learning Technology; Teaching Resources Digital Other,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HQ57KURB,journalArticle,2015,"Goedhart, Christine M; McLaughlin, Jacqueline S",Overcoming the Barrier to Implementing Authentic Research Experiences through Faculty Mentorship,CBE Life Sciences Education,nan,1931-7913,101187cbe15-01-0007,httpswwwlifesciedorgdoi101187cbe15-01-0007,nan,2015-06,2024-01-25 221439,2024-03-09 002024,2024-01-25 002437,le1,nan,2,140,nan,LSE,nan,nan,nan,nan,nan,nan,nan,en,nan,nan,nan,nan,DOIorg Crossref,nan,nan,nan,UsersivancheungZoterostorage2HH7ZWZ4cbehtml; UsersivancheungZoterostorageV47CSXR7Goedhart and McLaughlin - 2015 - Overcoming the Barrier to Implementing Authentic Rpdf,nan,Research Experience; Mentorship; Science Centre for Learning and Teaching Skylight,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FJMSMQ5G,journalArticle,2021,"Kianzad, Soheil; Chen, Guanxiong; MacLean, Karon E",PAL A Framework for Physically Assisted Learning Through Design and Exploration With a Haptic Robot Buddy,FRONTIERS IN ROBOTICS AND AI,nan,2296-9144,103389frobt2021700465,httpswwwwebofsciencecomapigatewayGWVersion2SrcAuthDOISourceSrcAppWOSKeyAID1033892Ffrobt2021700465DestAppDOISrcAppSIDUSW2EC0BC17Dv2hsniVHnNk1QlqXUSrcJTitleFRONTIERSINROBOTICSANDAIDestDOIRegistrantNameFrontiersMediaSA,"Robots are an opportunity for interactive and engaging learning activities In this paper we consider the premise that haptic force feedback delivered through a held robot can enrich learning of science-related concepts by building physical intuition as learners design experiments and physically explore them to solve problems they have posed Further, we conjecture that combining this rich feedback with pen-and-paper interactions, eg, to sketch experiments they want to try, could lead to fluid interactions and benefit focus However, a number of technical barriers interfere with testing this approach, and making it accessible to learners and their teachers In this paper, we propose a framework for Physically Assisted Learning based on stages of experiential learning which can guide designers in developing and evaluating effective technology, and which directs focus on how haptic feedback could assist with design and explore learning stages To this end, we demonstrated a possible technical pathway to support the full experience of designing an experiment by drawing a physical system on paper, then interacting with it physically after the system recognizes the sketch, interprets as a model and renders it haptically Our proposed framework is rooted in theoretical needs and current advances for experiential learning, pen-paper interaction and haptic technology We further explain how to instantiate the PAL framework using available technologies and discuss a path forward to a larger vision of physically assisted learning",2021-09-24,2024-01-25 221439,2024-02-06 175757,2024-01-17 223156,700465,nan,nan,80,nan,Front Robot AI,PAL,nan,nan,nan,nan,nan,nan,English,nan,nan,nan,nan,Clarivate Analytics Web of Science,nan,Num Pages 22 Place Lausanne Publisher Frontiers Media Sa Web of Science ID WOS000704545800001,nan,UsersivancheungZoterostorage9A4GH9RGKianzad et al - 2021 - PAL A Framework for Physically Assisted Learning pdf; ,httpswwwncbinlmnihgovpmcarticlesPMC8497750,Computer Science; Engagement; Learning Technology; Experiential Learning,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
