source,target
"Acai, A","Allen, M"
"Akesson, B","Allen, M"
"Allen, M","Chen, V"
"Allen, M","Mathany, C"
"Allen, M","McCollum, B"
"Allen, M","Spencer, J"
"Allen, M","Verwoord, R"
"Acton, D","Berg, C"
"Acton, D","Voll, K"
"Acton, D","Wolfman, S"
"Acton, D","Yu, B"
"Voll, K","Wolfman, S"
"Voll, K","Yu, B"
"Wolfman, S","Yu, B"
"Adams, W","Gilley, B"
"Algar, W","Elouazizi, N"
"Algar, W","Stewart, J"
"Algar, W","Maxwell, E"
"Algar, W","Tan, T"
"Algar, W","Zhang, Z"
"Algar, W","Stoodley, R"
"Algar, W","Rodriguez Nunez, J"
"Algar, W","Terpstra, A"
"Algar, W","Wickenden, J"
"Elouazizi, N","Stewart, J"
"Elouazizi, N","Maxwell, E"
"Elouazizi, N","Tan, T"
"Elouazizi, N","Zhang, Z"
"Elouazizi, N","Stoodley, R"
"Elouazizi, N","Rodriguez Nunez, J"
"Elouazizi, N","Terpstra, A"
"Elouazizi, N","Wickenden, J"
"Stewart, J","Maxwell, E"
"Stewart, J","Tan, T"
"Stewart, J","Zhang, Z"
"Stewart, J","Stoodley, R"
"Stewart, J","Rodriguez Nunez, J"
"Stewart, J","Terpstra, A"
"Stewart, J","Wickenden, J"
"Maxwell, E","Tan, T"
"Maxwell, E","Zhang, Z"
"Maxwell, E","Stoodley, R"
"Maxwell, E","Rodriguez Nunez, J"
"Maxwell, E","Terpstra, A"
"Maxwell, E","Wickenden, J"
"Tan, T","Stoodley, R"
"Tan, T","Rodriguez Nunez, J"
"Tan, T","Wickenden, J"
"Zhang, Z","Stoodley, R"
"Zhang, Z","Rodriguez Nunez, J"
"Zhang, Z","Wickenden, J"
"Stoodley, R","Rodriguez Nunez, J"
"Stoodley, R","Terpstra, A"
"Stoodley, R","Wickenden, J"
"Rodriguez Nunez, J","Terpstra, A"
"Rodriguez Nunez, J","Wickenden, J"
"Terpstra, A","Wickenden, J"
"Algar, W","Krull, U"
"Algar, W","Massey, M"
"Algar, W","Krull, U"
"Allen, M","Berg, C"
"Allen, M","Dawson, J"
"Allen, M","Leveridge, N"
"Berg, C","Dawson, J"
"Dawson, J","Leveridge, N"
"Allen, M","Wolfman, S"
"Allen, M","Dawson, J"
"Allen, M","Valair, A"
"Wolfman, S","Dawson, J"
"Wolfman, S","Valair, A"
"Dawson, J","Valair, A"
"Almstrum, V","Heeren, C"
"Almstrum, V","Tew, A"
"Henderson, P","Heeren, C"
"Henderson, P","Tew, A"
"Harvey, V","Heeren, C"
"Harvey, V","Tew, A"
"Heeren, C","Marion, W"
"Heeren, C","Riedesel, C"
"Heeren, C","Soh, L"
"Heeren, C","Tew, A"
"Marion, W","Tew, A"
"Riedesel, C","Tew, A"
"Soh, L","Tew, A"
"Amershi, S","Carenini, G"
"Amershi, S","Conati, C"
"Amershi, S","Poole, D"
"Carenini, G","Conati, C"
"Carenini, G","Mackworth, A"
"Carenini, G","Poole, D"
"Conati, C","Mackworth, A"
"Conati, C","Poole, D"
"Mackworth, A","Poole, D"
"Amershi, S","Conati, C"
"Anderson, R","Wolfman, S"
"VanDeGrift, T","Wolfman, S"
"Wolfman, S","Yasuhara, K"
"Wolfman, S","Anderson, R"
"Antimirova, T","Milner-Bolotin, M"
"Goldman, P","Milner-Bolotin, M"
"Lasry, N","Milner-Bolotin, M"
"Milner-Bolotin, M","Thompson, R"
"Arakawa, K","Wolfman, S"
"Hao, Q","Wolfman, S"
"Deneke, W","Wolfman, S"
"Cowan, I","Wolfman, S"
"Wolfman, S","Peterson, A"
"Archer, R","Bates, S"
"Aspuru-Guzik, A","Borduas-Dedekind, N"
"Baik, M","Borduas-Dedekind, N"
"Balasubramanian, S","Borduas-Dedekind, N"
"Banerjee, R","Borduas-Dedekind, N"
"Bart, S","Borduas-Dedekind, N"
"Borduas-Dedekind, N","Chang, S"
"Borduas-Dedekind, N","Chen, P"
"Borduas-Dedekind, N","Corminboeuf, C"
"Borduas-Dedekind, N","Coudert, F"
"Borduas-Dedekind, N","Cronin, L"
"Borduas-Dedekind, N","Crudden, C"
"Borduas-Dedekind, N","Cuk, T"
"Borduas-Dedekind, N","Doyle, A"
"Borduas-Dedekind, N","Fan, C"
"Borduas-Dedekind, N","Feng, X"
"Borduas-Dedekind, N","Freedman, D"
"Borduas-Dedekind, N","Furukawa, S"
"Borduas-Dedekind, N","Ghosh, S"
"Borduas-Dedekind, N","Glorius, F"
"Borduas-Dedekind, N","Jeffries-EL, M"
"Borduas-Dedekind, N","Katsonis, N"
"Borduas-Dedekind, N","Li, A"
"Borduas-Dedekind, N","Linse, S"
"Borduas-Dedekind, N","Marchesan, S"
"Borduas-Dedekind, N","Maulide, N"
"Borduas-Dedekind, N","Milo, A"
"Borduas-Dedekind, N","Narayan, A"
"Borduas-Dedekind, N","Naumov, P"
"Borduas-Dedekind, N","Nevado, C"
"Borduas-Dedekind, N","Nyokong, T"
"Borduas-Dedekind, N","Palacin, R"
"Borduas-Dedekind, N","Reid, M"
"Borduas-Dedekind, N","Robinson, C"
"Borduas-Dedekind, N","Robinson, G"
"Borduas-Dedekind, N","Sarpong, R"
"Borduas-Dedekind, N","Schindler, C"
"Borduas-Dedekind, N","Schlau-Cohen, G"
"Borduas-Dedekind, N","Schmidt, T"
"Borduas-Dedekind, N","Sessoli, R"
"Borduas-Dedekind, N","Shao-Horn, Y"
"Borduas-Dedekind, N","Sleiman, H"
"Borduas-Dedekind, N","Sutherland, J"
"Borduas-Dedekind, N","Taylor, A"
"Borduas-Dedekind, N","Tezcan, A"
"Borduas-Dedekind, N","Tortosa, M"
"Borduas-Dedekind, N","Walsh, A"
"Borduas-Dedekind, N","Watson, A"
"Borduas-Dedekind, N","Weckhuysen, B"
"Borduas-Dedekind, N","Weiss, E"
"Borduas-Dedekind, N","Wilson, D"
"Borduas-Dedekind, N","Yam, V"
"Borduas-Dedekind, N","Yang, X"
"Borduas-Dedekind, N","Ying, J"
"Borduas-Dedekind, N","Yoon, T"
"Borduas-Dedekind, N","You, S"
"Borduas-Dedekind, N","Zarbin, A"
"Borduas-Dedekind, N","Zhang, H"
"Agar, B","Birol, G"
"Birol, G","Cinar, A"
"Baldwin, D","Heeren, C"
"Marion, B","Heeren, C"
"Sitaraman, M","Heeren, C"
"Baniassad, E","Beschastnikh, I"
"Baniassad, E","Holmes, R"
"Baniassad, E","Kiczales, G"
"Baniassad, E","Allen, M"
"Beschastnikh, I","Holmes, R"
"Beschastnikh, I","Kiczales, G"
"Beschastnikh, I","Allen, M"
"Holmes, R","Kiczales, G"
"Holmes, R","Allen, M"
"Kiczales, G","Allen, M"
"Baniassad, E","Campbell, A"
"Baniassad, E","Allidina, T"
"Baniassad, E","Ord, A"
"Baniassad, E","Clements, P"
"Baniassad, E","Araujo, J"
"Baniassad, E","Moreira, A"
"Baniassad, E","Rashid, A"
