name,size,faculty
"Acai, A",1,Other/Non-UBC
"Akesson, B",1,Other/Non-UBC
"Allen, M",11,Computer Science
"Chen, V",1,Other/Non-UBC
"Mathany, C",1,Other/Non-UBC
"McCollum, B",1,Other/Non-UBC
"Spencer, J",1,Other/Non-UBC
"Verwoord, R",1,Other/Non-UBC
"Acton, D",4,Computer Science
"Berg, C",2,Other/Non-UBC
"Voll, K",2,Computer Science
"Wolfman, S",15,Computer Science
"Yu, B",1,Computer Science
"Adams, W",2,Other/Non-UBC
"Gilley, B",14,"Earth, Ocean and Atmospheric Sciences"
"Algar, W",4,Chemistry
"Elouazizi, N",2,Skylight
"Stewart, J",13,Skylight
"Maxwell, E",3,Chemistry
"Tan, T",1,Other/Non-UBC
"Zhang, Z",4,Other/Non-UBC
"Stoodley, R",5,Chemistry
"Rodriguez Nunez, J",3,Chemistry
"Terpstra, A",1,Other/Non-UBC
"Wickenden, J",1,Chemistry
"Krull, U",2,Other/Non-UBC
"Massey, M",1,Other/Non-UBC
"Dawson, J",5,Computer Science
"Leveridge, N",1,Other/Non-UBC
"Valair, A",2,Other/Non-UBC
"Almstrum, V",1,Other/Non-UBC
"Henderson, P",1,Other/Non-UBC
"Harvey, V",1,Other/Non-UBC
"Heeren, C",11,Computer Science
"Marion, W",1,Other/Non-UBC
"Riedesel, C",1,Other/Non-UBC
"Soh, L",1,Other/Non-UBC
"Tew, A",1,Computer Science
"Amershi, S",2,Other/Non-UBC
"Carenini, G",2,Computer Science
"Conati, C",24,Computer Science
"Mackworth, A",2,Other/Non-UBC
"Poole, D",2,Computer Science
"Anderson, R",2,Other/Non-UBC
"VanDeGrift, T",1,Other/Non-UBC
"Yasuhara, K",1,Other/Non-UBC
"Antimirova, T",1,Other/Non-UBC
"Goldman, P",1,Other/Non-UBC
"Lasry, N",1,Other/Non-UBC
"Milner-Bolotin, M",12,Skylight
"Thompson, R",1,Other/Non-UBC
"Arakawa, K",1,Other/Non-UBC
"Hao, Q",1,Other/Non-UBC
"Deneke, W",1,Other/Non-UBC
"Cowan, I",1,Other/Non-UBC
"Peterson, A",1,Other/Non-UBC
"Archer, R",1,Other/Non-UBC
"Bates, S",14,Physics and Astronomy
"Aspuru-Guzik, A",2,Other/Non-UBC
"Baik, M",1,Other/Non-UBC
"Balasubramanian, S",1,Other/Non-UBC
"Banerjee, R",1,Other/Non-UBC
"Bart, S",1,Other/Non-UBC
"Borduas-Dedekind, N",4,Chemistry
"Chang, S",1,Other/Non-UBC
"Chen, P",1,Other/Non-UBC
"Corminboeuf, C",1,Other/Non-UBC
"Coudert, F",1,Other/Non-UBC
"Cronin, L",1,Other/Non-UBC
"Crudden, C",1,Other/Non-UBC
"Cuk, T",1,Other/Non-UBC
"Doyle, A",1,Other/Non-UBC
"Fan, C",1,Other/Non-UBC
"Feng, X",1,Other/Non-UBC
"Freedman, D",1,Other/Non-UBC
"Furukawa, S",1,Other/Non-UBC
"Ghosh, S",1,Other/Non-UBC
"Glorius, F",1,Other/Non-UBC
"Jeffries-EL, M",1,Other/Non-UBC
"Katsonis, N",1,Other/Non-UBC
"Li, A",1,Other/Non-UBC
"Linse, S",1,Other/Non-UBC
"Marchesan, S",1,Other/Non-UBC
"Maulide, N",1,Other/Non-UBC
"Milo, A",1,Other/Non-UBC
"Narayan, A",1,Other/Non-UBC
"Naumov, P",1,Other/Non-UBC
"Nevado, C",1,Other/Non-UBC
"Nyokong, T",1,Other/Non-UBC
"Palacin, R",1,Other/Non-UBC
"Reid, M",1,Other/Non-UBC
"Robinson, C",1,Other/Non-UBC
"Robinson, G",1,Other/Non-UBC
"Sarpong, R",1,Other/Non-UBC
"Schindler, C",1,Other/Non-UBC
"Schlau-Cohen, G",1,Other/Non-UBC
"Schmidt, T",1,Other/Non-UBC
"Sessoli, R",1,Other/Non-UBC
"Shao-Horn, Y",1,Other/Non-UBC
"Sleiman, H",1,Other/Non-UBC
"Sutherland, J",1,Other/Non-UBC
"Taylor, A",1,Other/Non-UBC
"Tezcan, A",1,Other/Non-UBC
"Tortosa, M",1,Other/Non-UBC
"Walsh, A",1,Other/Non-UBC
"Watson, A",1,Other/Non-UBC
"Weckhuysen, B",1,Other/Non-UBC
"Weiss, E",1,Other/Non-UBC
"Wilson, D",1,Other/Non-UBC
"Yam, V",1,Other/Non-UBC
"Yang, X",1,Other/Non-UBC
"Ying, J",1,Other/Non-UBC
"Yoon, T",1,Other/Non-UBC
"You, S",1,Other/Non-UBC
"Zarbin, A",1,Other/Non-UBC
"Zhang, H",1,Other/Non-UBC
"Agar, B",1,Other/Non-UBC
"Birol, G",39,Skylight
"Cinar, A",5,Other/Non-UBC
"Baldwin, D",1,Other/Non-UBC
"Marion, B",1,Other/Non-UBC
"Sitaraman, M",1,Other/Non-UBC
"Baniassad, E",11,Computer Science
"Beschastnikh, I",1,Other/Non-UBC
"Holmes, R",5,Computer Science
"Kiczales, G",2,Computer Science
"Campbell, A",7,Other/Non-UBC
"Allidina, T",1,Other/Non-UBC
"Ord, A",1,Other/Non-UBC
"Clements, P",1,Other/Non-UBC
"Araujo, J",1,Other/Non-UBC
"Moreira, A",1,Other/Non-UBC
"Rashid, A",1,Other/Non-UBC
"Tekinerdogan, B",1,Other/Non-UBC
"Summers, A",1,Other/Non-UBC
"Zamprogno, L",2,Other/Non-UBC
"Hall, B",3,Other/Non-UBC
"Barba, L",1,Other/Non-UBC
"Barker, L",1,Other/Non-UBC
"Blank, D",1,Other/Non-UBC
"Brown, J",1,Other/Non-UBC
"Downey, A",1,Other/Non-UBC
"George, T",1,Other/Non-UBC
"Heagy, L",2,"Earth, Ocean and Atmospheric Sciences"
"Mandli, K",1,Other/Non-UBC
"Moore, J",1,Other/Non-UBC
"Lippert, D",1,Other/Non-UBC
"Niemeyer, K",1,Other/Non-UBC
"Watkins, R",1,Other/Non-UBC
"West, R",1,Other/Non-UBC
"Willing, C",1,Other/Non-UBC
"Zingale, M",1,Other/Non-UBC
