Conference Title,Count of Publication Title
Proceedings Of The Aaai Conference On Artificial Intelligence,2
The Western Conference On Science Education,8
Proceedings Of The 43Rd Acm Technical Symposium On Computer Science Education,2
Proceedings Of The 14Th Western Canadian Conference On Computing Education,2
Proceedings Of The Western Canadian Conference On Computing Education,3
Proceedings Of The Second Joint 24Th Annual Conference And The Annual Fall Meeting Of The Biomedical Engineering Societyengineering In Medicine And Biology,2
Proceedings Of The 54Th Acm Technical Symposium On Computer Science Education V 2,4
Innovations In Teaching  Learning Conference Proceedings,6
Proceedings Of The 49Th Acm Technical Symposium On Computer Science Education,2
Proceedings Of The 53Rd Acm Technical Symposium On Computer Science Education - Volume 1,2
Proceedings Of The 2022 Acm Sigplan International Symposium On Splash-E,2
2020 Physics Education Research Conference Proceedings,2
Proceedings Of The 2022 Chi Conference On Human Factors In Computing Systems Chi' 22,2
Proceedings Of The 53Rd Acm Technical Symposium On Computer Science Education V 2,2
Proceedings Of The 51St Acm Technical Symposium On Computer Science Education,2
Proceedings Of The 46Th Acm Technical Symposium On Computer Science Education,2
Proceedings Of The 2021 Acm Sigplan International Symposium On Splash-E,2
2019 Physics Education Research Conference Proceedings,2
Other,70
