Conference Title,Author,Count
Proceedings Of The 2002 American Society Of Engineering Education Illinoisindiana Sectional Conference,"Birol, G",1
Proceedings Of The 2002 American Society Of Engineering Education Illinoisindiana Sectional Conference,"Liu, S",1
Proceedings Of The Fourth 2017 Acm Conference On Learning  Scale Ls'17,"Whitehill, J",1
Proceedings Of The Fourth 2017 Acm Conference On Learning  Scale Ls'17,"Seltzer, M",1
Artificial Intelligence In Education,"Lalle, S",1
Artificial Intelligence In Education,"Conati, C",1
Proceedings Of The 22Nd Annual International Conference Of The Ieee Engineering In Medicine And Biology Society Cat No 00Ch37143,"Erzen, F",1
Proceedings Of The 22Nd Annual International Conference Of The Ieee Engineering In Medicine And Biology Society Cat No 00Ch37143,"Birol, G",1
Proceedings Of The 22Nd Annual International Conference Of The Ieee Engineering In Medicine And Biology Society Cat No 00Ch37143,"Cinar, A",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Zhou, C",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Kuang, D",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Liu, J",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Yang, H",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Zhang, Z",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Mackworth, A",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Poole, D",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Zarkoob, H",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"d'Eon, G",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Podina, L",1
Proceedings Of The Aaai Conference On Artificial Intelligence,"Leyton-Brown, K",1
Proceedings Of The 11Th Computer Science Education Research Conference,"Mochetti, K",1
Proceedings Of The 11Th Computer Science Education Research Conference,"Ururay Fragoso Araujo, T",1
Proceedings Of The 11Th Computer Science Education Research Conference,"Domingos Correia Santos, C",1
Proceedings Of The 2018 Conference On Human Information Interaction  Retrieval,"Dodson, S",1
Proceedings Of The 2018 Conference On Human Information Interaction  Retrieval,"Roll, I",1
Proceedings Of The 2018 Conference On Human Information Interaction  Retrieval,"Fong, M",1
Proceedings Of The 2018 Conference On Human Information Interaction  Retrieval,"Yoon, D",1
Proceedings Of The 2018 Conference On Human Information Interaction  Retrieval,"Harandi, N",1
Proceedings Of The 2018 Conference On Human Information Interaction  Retrieval,"Fels, S",1
The Western Conference On Science Education,"Ola, O",2
The Western Conference On Science Education,"Lyons, M",1
The Western Conference On Science Education,"Gabriel, D",1
The Western Conference On Science Education,"Groat, L",1
The Western Conference On Science Education,"Kalas, P",2
The Western Conference On Science Education,"Jackman, A",1
The Western Conference On Science Education,"Goel, R",1
The Western Conference On Science Education,"Moussavi, M",2
The Western Conference On Science Education,"Campbell, A",2
The Western Conference On Science Education,"McNutt, J",1
The Western Conference On Science Education,"Piccolo, C",1
The Western Conference On Science Education,"Massey-Allard, J",1
The Western Conference On Science Education,"Cantin, A",1
The Western Conference On Science Education,"Ashok, A",1
The Western Conference On Science Education,"Asiedu, E",1
The Western Conference On Science Education,"Ives, J",1
The Western Conference On Science Education,"Summers, M",1
The Western Conference On Science Education,"Stang, J",1
The Western Conference On Science Education,"Stewart, J",1
The Western Conference On Science Education,"Kelly, T",1
The Western Conference On Science Education,"Birol, G",1
The Western Conference On Science Education,"Smith, K",1
The Western Conference On Science Education,"Goedhart, C",1
The Western Conference On Science Education,"Sherman, S",1
The Western Conference On Science Education,"Harris, S",1
The Western Conference On Science Education,"Wideman, T",1
The Western Conference On Science Education,"Mao, Y",1
Proceedings Of The Fifth Annual Acm Conference On Learning At Scale,"Dodson, S",1
Proceedings Of The Fifth Annual Acm Conference On Learning At Scale,"Roll, I",1
Proceedings Of The Fifth Annual Acm Conference On Learning At Scale,"Fong, M",1
Proceedings Of The Fifth Annual Acm Conference On Learning At Scale,"Yoon, D",1
Proceedings Of The Fifth Annual Acm Conference On Learning At Scale,"Harandi, N",1
Proceedings Of The Fifth Annual Acm Conference On Learning At Scale,"Fels, S",1
Proceedings Of The 43Rd Acm Technical Symposium On Computer Science Education,"Carter, P",1
