Journal Title,Count of Publication Title
Journal Of Open Source Education,1
Chemistry Education Research And Practice,1
Teaching Mathematics And Its Applications,1
International Journal Of Engineering Simulation,1
Physica Scripta,1
Human-Computer Interaction,1
Plos Computational Biology,1
International Journal Of Teaching  Learning In Higher Education,1
Journal On Excellence In College Teaching,1
Science Scope,1
Elementa-Science Of The Anthropocene,1
Journal Of Statistics Education,1
J Coll Sci Teach,1
"Engaging Science, Technology, And Society",1
Nature Chemistry,1
International Journal Of Artificial Intelligence In Education,1
Journal Of Educational Data Mining,1
Teaching Statistics,1
Sn Computer Science,1
Computer Science Education,1
Journal Of Physics Conference Series,1
Tapestry,1
Npj Science Of Learning,1
"Carl Weiman Science Education Initiative, University Of British Columbia, Accessed",1
To Improve The Academy A Journal Of Educational Development,1
International Journal Of Engineering Education,1
Journal Of Microbiology  Biology Education,1
Scientometrics,1
Ieee Software,1
Computers  Education,1
Bioscience Education,1
Tesol Quarterly,1
Proquest Llc,1
Abstracts Of Papers Of The American Chemical Society,1
Alberta Journal Of Educational Research,1
Computers And Education Artificial Intelligence,1
Los Angeles,1
European Science Education Research Association Esera,1
Frontiers In Genetics,1
Earth And Space Science,1
Gifted Child Quarterly,1
Ieee Transactions On Haptics,1
Design Recommendations For Intelligent Tutoring Systems,1
Assessment  Evaluation In Higher Education,1
"International Journal Of Science, Mathematics And Technology Learning",1
Cns Spectrums,1
Science,1
Hydrology And Earth System Sciences,1
Science Education,1
Chi '03 Extended Abstracts On Human Factors In Computing Systems,1
Earth System Science Data,1
Council On Undergraduate Research Quarterly,1
Nature Ecology  Evolution,1
Geosphere,1
Peer Review,1
Bioinformatics,1
Ecology And Evolution,1
Higher Education Research  Development,1
Machine Learning Science And Technology,1
Journal Of Statistics And Data Science Education,1
Frontiers In Robotics And Ai,1
Interacting With Computers,1
Eth Learning And Teaching Journal,1
American Journal Of Physics,1
Acm Sigcse Bulletin,1
Canadian Journal Of Physics,1
Higher Education,1
International Newsletter On Physics Education International Commission On Physics Education-International Union Of Pure And Applied Physics,1
International Journal For The Scholarship Of Teaching And Learning,1
"Canadian Journal Of Science, Mathematics And Technology Education",1
Education Sciences,1
Journal For Stem Education Research,1
Acm Transactions On Computing Education Toce,1
The Canadian Journal Of Higher Education,1
Ai Magazine,1
The American Biology Teacher,1
Canadian Journal For The Scholarship Of Teaching  Learning,1
Environmental Education Research,1
Transformative Dialogues Teaching  Learning Journal,1
Science  Education,1
Research Paper Presentation At Society For Teaching And Learning In Higher Education Stlhe,1
"Report For The Council Of Life Sciences, Ubc",1
Zdm,1
Frontiers In Psychology,1
Canadian Journal For The Scholarship Of Teaching And Learning,1
International Journal Of Innovation In Science And Mathematics Education,1
Educational Psychology Review,1
Green Chemistry Letters And Reviews,1
In Education,1
Acm Transactions On Interactive Intelligent Systems,1
Scholarship And Practice Of Undergraduate Research,1
Nature Astronomy,1
International Journal Of Educational Technology In Higher Education,1
Transforming Institutions Undergraduate Stem Education For The 21St Century,1
Cent Stem Learn Fac Contrib,1
Journal Of Education And Practice,1
Bioscience,1
Educational Review,1
Medical Teacher,1
"Science, Mathematics, And Technology Learning",1
Research In Higher Education,1
Anais Do Computer On The Beach,1
Acta Crystallographica A-Foundation And Advances,1
Plos Biology,1
Ethology,1
Information And Learning Sciences,1
Educational Research And Evaluation,1
