Name,Count
"Fox, J",11
"Birol, G",25
"Welsh, A",12
"Berger, J",1
"Lane, E",2
"Harris, S",8
"Duis, J",1
"Schafer, L",2
"Nussbaum, S",2
"Stewart, J",7
"Rieger, G",12
"Piccolo, C",3
"Carolan, J",1
"Roll, I",14
"Code, W",12
"Maxwell, E",3
"Knox, K",4
"Dake, G",2
"Leung, F",6
"Haber, E",1
"Stang, J",5
"Barker, M",5
"Ives, J",6
"MacLean, M",5
"Wolfman, S",3
"Oliver, D",5
"Hallam, S",2
"Stoodley, R",5
"Conati, C",15
"Bates, S",13
"Algar, W",4
"Bussiere, G",2
"Kalas, P",9
"Hein, J",2
"Jones, F",6
"Jandciu, E",4
"Rodriguez Nunez, J",3
"Milner-Bolotin, M",10
"Giang, A",2
"Dunham, B",2
"Yapa, G",1
"Yu, E",1
"Kotlicki, A",1
"Reinsberg, S",3
"Oberg, G",5
"Gilley, B",7
"Clarkston, B",4
"Charbonneau, A",3
"Wieman, C",14
"Ng, R",2
"Toti, G",2
"Milner, V",3
"Nomme, K",5
"Chowrira, S",3
"Smith, K",3
"Lukes, L",5
"Sherman, S",5
"Pete, S",1
"Merchant, S",2
"Rechnitzer, A",1
"Burke, S",2
"Heiner, C",4
"Graves, M",5
"Jeffery, E",4
"Day, J",7
"Bonn, D",11
"Tseng, M",2
"Strubbe, L",3
"Redfield, R",2
"Holmes, N",8
"Yoon, D",3
"Addison, C",2
"Holland, T",2
"Garaschuk, K",1
"Cytrynbaum, E",1
"Sutherland, S",2
"McIver, J",2
"Schneider, O",1
"MacLean, K",2
"Liu, K",1
"Monga, V",1
"Rogers, C",1
"Deslauriers, L",4
"Leyton-Brown, K",2
"Heagy, L",2
"Oldenburg, D",1
"Borduas-Dedekind, N",1
"Hansen, M",2
"Kiczales, G",1
"Srivastava, D",2
"Michaletz, S",1
"Ostblom, J",1
"Timbers, T",1
"Goedhart, C",3
"Carenini, G",2
"Poole, D",1
"Allen, M",3
"Bole, G",1
"Smith, P",1
"Weir, L",2
"McDonnell, L",5
"Schimpf, N",1
"Schulte, P",1
"Ramer, M",1
"Pennell, M",1
"Zhao, J",1
"Klenz, J",3
"Reid, A",1
"Ivanochko, T",1
"Young, R",3
"Elouazizi, N",1
"Wickenden, J",1
"Lo, J",1
"Man, A",1
"Johnson, M",1
"Jones, D",1
"Madison, K",1
"Harder, K",1
"Mochetti, K",1
"Aviles, L",1
"Taylor, J",1
